,City,Country,Temp,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed
0,chokurdakh,RU,25.83,70.63,147.92,25.83,46,73,1.53
1,butaritari,KI,28.52,3.07,172.79,28.52,75,26,6.7
2,anloga,GH,24.0,5.79,0.9,24.0,88,20,4.6
3,ponta do sol,PT,20.17,32.67,-17.1,22.0,68,20,6.2
4,bredasdorp,ZA,13.0,-34.53,20.04,13.0,93,0,1.0
5,faanui,PF,25.06,-16.48,-151.75,25.06,80,48,8.62
6,kapaa,US,25.36,22.08,-159.32,26.67,83,75,3.6
7,geraldton,AU,17.0,-28.77,114.6,17.0,88,75,6.2
8,bani walid,LY,22.31,31.76,13.99,22.31,71,0,4.59
9,chuy,UY,18.25,-33.7,-53.46,18.25,97,100,3.3
10,port alfred,ZA,17.36,-33.59,26.89,17.36,79,0,4.11
11,severnyy,RU,15.0,50.68,36.55,15.0,67,0,4.0
12,catumbela,AO,20.39,-12.43,13.55,20.39,85,0,0.36
13,khatanga,RU,8.68,71.97,102.5,8.68,78,100,5.92
14,zhigansk,RU,14.33,66.77,123.37,14.33,72,52,7.93
15,mattru,SL,23.69,7.62,-11.83,23.69,96,100,1.61
16,adrar,MR,40.19,20.5,-10.07,40.19,9,53,4.0
17,punta arenas,CL,-2.11,-53.15,-70.92,-2.0,100,20,2.6
18,yatou,CN,20.94,37.15,122.38,20.94,96,100,9.15
19,georgetown,MY,25.36,5.41,100.34,26.0,88,40,1.0
20,hobart,AU,5.14,-42.88,147.33,6.0,81,75,3.6
21,tasiilaq,GL,7.0,65.61,-37.64,7.0,81,38,2.6
22,bluff,NZ,3.89,-46.6,168.33,3.89,83,96,1.34
23,potam,MX,36.08,27.6,-110.38,36.67,30,75,2.1
24,hilo,US,25.55,19.73,-155.09,28.0,58,90,2.6
25,ambulu,ID,22.42,-8.35,113.61,22.42,89,83,1.82
26,safford,US,31.0,32.83,-109.71,31.0,40,40,6.2
27,albany,US,29.21,42.6,-73.97,30.0,61,75,2.6
28,new norfolk,AU,4.77,-42.78,147.06,5.56,87,51,0.89
29,villa union,MX,32.38,23.2,-106.23,33.0,52,5,3.1
30,wahiawa,US,26.74,21.5,-158.02,28.0,69,18,3.1
31,port blair,IN,27.92,11.67,92.75,27.92,73,100,0.37
32,severo-kurilsk,RU,10.57,50.68,156.12,10.57,85,38,0.62
33,cidreira,BR,20.74,-30.18,-50.21,20.74,68,87,2.66
34,port hedland,AU,16.0,-20.32,118.57,16.0,51,0,3.6
35,tabou,CI,24.17,4.42,-7.35,24.17,86,100,5.17
36,saint-philippe,RE,13.91,-21.36,55.77,19.0,68,90,3.1
37,thinadhoo,MV,28.55,0.53,72.93,28.55,75,45,5.33
38,comodoro rivadavia,AR,4.0,-45.87,-67.5,4.0,80,40,1.5
39,uwajima,JP,24.37,33.22,132.56,24.37,88,97,0.45
40,pacific grove,US,20.8,36.62,-121.92,21.67,56,40,6.7
41,busselton,AU,13.45,-33.65,115.33,14.44,56,34,9.05
42,prachuap khiri khan,TH,26.13,11.82,99.78,26.13,81,83,2.32
43,rikitea,PF,19.64,-23.12,-134.97,19.64,58,100,6.04
44,kharp,RU,9.78,66.8,65.81,9.78,75,0,1.35
45,jamestown,US,26.25,42.1,-79.24,26.67,69,75,5.1
46,tambura,SS,19.64,5.6,27.47,19.64,97,100,1.55
47,bereda,ES,20.13,43.27,-7.54,21.11,89,0,3.13
48,mayo,US,30.44,38.89,-76.51,32.0,70,1,5.1
49,norman wells,CA,14.0,65.28,-126.83,14.0,76,90,6.7
50,arkhara,RU,16.47,49.42,130.08,16.47,84,100,1.23
51,le mars,US,27.72,42.79,-96.17,28.33,45,1,3.6
52,hithadhoo,MV,28.67,-0.6,73.08,28.67,72,73,2.78
53,mar del plata,AR,9.85,-38.0,-57.56,10.0,93,90,11.8
54,atuona,PF,26.49,-9.8,-139.03,26.49,73,0,7.93
55,constitucion,CL,12.34,-35.33,-72.42,12.34,67,26,2.09
56,inhambupe,BR,21.67,-11.78,-38.35,21.67,89,85,3.34
57,mizque,BO,23.6,-17.94,-65.34,23.6,36,2,4.59
58,mahebourg,MU,21.0,-20.41,57.7,21.0,52,75,7.2
59,kieta,PG,25.82,-6.22,155.63,25.82,79,77,2.4
60,souillac,MU,21.0,-20.52,57.52,21.0,52,75,7.2
61,castro,BR,19.94,-24.79,-50.01,19.94,65,96,0.96
62,musoma,TZ,22.0,-1.5,33.8,22.0,88,5,2.21
63,hit,IQ,31.74,33.64,42.83,31.74,20,0,0.38
64,thompson,CA,26.0,55.74,-97.86,26.0,47,75,4.6
65,tual,ID,26.53,-5.67,132.75,26.53,80,88,7.56
66,maine-soroa,NE,33.19,13.21,12.02,33.19,38,99,2.5
67,bethel,US,30.32,41.37,-73.41,31.0,58,40,5.1
68,faya,SA,21.99,18.39,42.45,24.0,88,34,1.05
69,sayyan,YE,20.16,15.17,44.32,20.16,50,79,1.77
70,sur,OM,29.24,22.57,59.53,29.24,71,66,8.71
71,saint george,US,36.36,37.1,-113.58,36.67,18,20,2.6
72,ushuaia,AR,2.0,-54.8,-68.3,2.0,59,90,4.1
73,banda aceh,ID,25.44,5.56,95.32,25.44,82,100,3.99
74,synya,RU,16.38,65.37,58.04,16.38,67,0,2.03
75,dikson,RU,4.48,73.51,80.55,4.48,93,16,3.03
76,vanavara,RU,10.58,60.34,102.28,10.58,88,20,1.76
77,san juan tepa,MX,25.61,20.22,-99.07,25.61,32,42,5.03
78,ribeira grande,PT,23.0,38.52,-28.7,23.0,69,40,2.1
79,mataura,NZ,3.89,-46.19,168.86,3.89,83,92,1.34
80,revda,RU,18.0,56.8,59.93,18.0,72,100,4.0
81,qaanaaq,GL,9.04,77.48,-69.36,9.04,52,0,0.64
82,avarua,CK,25.0,-21.21,-159.78,25.0,88,8,6.2
83,bahia blanca,AR,7.0,-38.72,-62.27,7.0,100,90,12.9
84,upernavik,GL,8.88,72.79,-56.15,8.88,65,0,5.66
85,bambous virieux,MU,19.74,-20.34,57.76,21.0,52,75,7.2
86,esperance,AU,14.0,-33.87,121.9,14.0,54,75,9.8
87,kathu,TH,27.22,7.92,98.33,28.89,100,40,0.5
88,barabai,ID,23.09,-2.58,115.38,23.09,95,100,0.53
89,leningradskiy,RU,15.49,69.38,178.42,15.49,48,100,3.3
